track_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,playlist_name
Love For The Streets,0.799,0.733,2,-6.234,1,0.216,0.172,1.7e-05,0.332,0.753,146.051,rap,No Cap
Where U From,0.844,0.724,2,-5.776,1,0.194,0.0668,0.0,0.313,0.815,102.018,rap,No Cap
I Got A Bag (feat. Hotboii),0.501,0.699,7,-4.733,1,0.248,0.171,0.0,0.123,0.671,85.267,rap,No Cap
Ain’t Right,0.8,0.375,1,-6.834,1,0.129,0.02,0.0,0.121,0.0561,139.985,rap,No Cap
On Wat U On (with GloRilla),0.894,0.528,1,-7.623,1,0.466,0.0444,0.0,0.108,0.2,144.532,rap,No Cap
No More Friends,0.645,0.842,5,-3.023,0,0.0983,0.00816,0.0,0.396,0.237,150.039,rap,No Cap
Out of Time,0.868,0.562,11,-5.111,0,0.251,0.0111,0.0,0.0826,0.132,89.951,rap,No Cap
Neighborhood Trapstars,0.854,0.626,2,-6.486,1,0.448,0.0511,0.0,0.34,0.132,100.135,rap,No Cap
Writing My Wrongs,0.422,0.536,2,-6.605,0,0.053,0.405,0.0,0.204,0.719,151.206,rap,No Cap
Gah Damn,0.807,0.519,2,-11.421,1,0.358,0.00171,0.0,0.365,0.139,139.991,rap,No Cap
"One Mic, One Gun",0.756,0.916,1,-2.692,1,0.207,0.0351,0.0,0.241,0.458,149.961,rap,No Cap
Pew Pew,0.902,0.544,7,-8.242,0,0.242,0.153,0.0,0.111,0.136,131.912,rap,No Cap
Get Em,0.803,0.414,8,-12.382,1,0.572,0.154,0.0,0.12,0.543,79.929,rap,No Cap
Da Rant,0.529,0.687,11,-7.142,1,0.28,0.0242,1.47e-06,0.129,0.222,82.283,rap,No Cap
Conceited (feat. Lola Brooke & Maiya The Don),0.94,0.761,8,-4.408,1,0.0979,0.0741,1.89e-05,0.59,0.414,118.027,rap,Pressure
What Else,0.925,0.551,9,-7.145,1,0.21,0.117,0.0,0.08,0.666,127.024,rap,Pressure
Tomorrow 2 (with Cardi B),0.791,0.818,0,-3.93,1,0.406,0.0695,0.0,0.114,0.693,159.922,rap,Pressure
Princess Diana,0.902,0.733,9,-4.056,1,0.164,0.289,0.0,0.085,0.821,147.977,rap,Pressure
Don't Worry Bout It,0.895,0.805,10,-5.578,0,0.0486,0.00194,0.0,0.113,0.318,140.986,rap,Pressure
Anxiety,0.951,0.766,8,-4.65,0,0.259,0.233,0.0,0.118,0.686,126.989,rap,Pressure
Give U Some (feat. Rob49),0.945,0.682,4,-7.295,0,0.311,0.0177,0.0,0.0813,0.84,102.489,rap,Pressure
Telfy,0.939,0.713,0,-6.964,0,0.206,0.247,0.0,0.0732,0.69,123.065,rap,Pressure
Come Thru,0.765,0.595,1,-11.121,1,0.419,0.0274,0.00147,0.0692,0.208,79.964,rap,Pressure
PTSD,0.854,0.463,1,-5.997,1,0.0915,0.00773,7.35e-06,0.12,0.551,119.04,rap,Pressure
No Hook,0.783,0.758,2,-4.294,0,0.3,0.279,0.0,0.129,0.51,102.018,rap,Pressure
Texture,0.846,0.602,10,-8.008,0,0.201,0.017,7.55e-06,0.187,0.16,140.099,rap,Pressure
Uh Ohhh,0.849,0.687,6,-7.064,0,0.104,0.00732,0.0,0.113,0.316,144.017,rap,Pressure
Nann Hoe,0.88,0.681,7,-8.083,0,0.252,0.055,0.0,0.086,0.722,78.013,rap,Pressure
Body Bag,0.858,0.622,7,-4.413,1,0.266,0.515,0.0,0.146,0.517,85.054,rap,Pressure
6000 Degrees (AH HA),0.918,0.517,2,-7.085,1,0.156,0.0365,0.0,0.0998,0.158,131.983,rap,Pressure
berserk,0.886,0.886,0,-5.222,1,0.218,0.0721,0.000134,0.0621,0.701,99.924,rap,Pressure
M.A.B,0.858,0.828,0,-4.16,1,0.103,0.00662,0.0,0.613,0.579,150.045,rap,Pressure
Diamond in the Rough - Remix,0.822,0.601,1,-7.421,1,0.429,0.15,0.0,0.098,0.689,155.003,rap,Pressure
Hands on the Floor,0.859,0.508,5,-7.459,0,0.331,0.182,0.0,0.0725,0.592,100.067,rap,Pressure
Honey Bun,0.718,0.763,7,-7.011,1,0.114,0.266,0.00214,0.335,0.181,92.054,rap,Pressure
BAFWM,0.907,0.681,1,-5.06,1,0.311,0.204,0.0,0.0637,0.726,139.906,rap,Pressure
Maneuver (feat. Flo Milli),0.842,0.859,11,-3.654,1,0.265,0.0682,0.0,0.148,0.568,124.941,rap,Pressure
Issa Photoshoot,0.803,0.634,2,-5.403,1,0.0946,0.0463,0.0,0.0969,0.453,160.018,rap,Pressure
Blow It (feat. Kali),0.845,0.442,11,-6.655,0,0.147,0.0321,0.315,0.107,0.343,88.502,rap,Pressure
Here I Come,0.825,0.663,1,-4.989,1,0.0948,0.0138,0.000222,0.0971,0.45,91.965,rap,Pressure
Stand On It,0.897,0.721,1,-3.857,1,0.307,0.133,1.21e-06,0.0527,0.704,139.995,rap,Pressure
In Ha Mood,0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,rap,Pressure
Gotsta Get Paid,0.81,0.734,11,-2.353,1,0.142,0.00673,0.0,0.136,0.52,142.644,rap,Pressure
Keep The Change,0.778,0.682,6,-4.917,0,0.209,0.0111,0.0,0.132,0.256,155.091,rap,Pressure
F.N.G.M.,0.937,0.719,6,-6.409,0,0.161,0.0186,1.1e-05,0.0909,0.384,96.048,rap,Pressure
Pussycat,0.873,0.812,0,-3.624,1,0.14,0.031,0.0,0.118,0.388,127.015,rap,Pressure
Gang Gang,0.674,0.869,1,-4.528,1,0.132,0.117,0.000174,0.309,0.566,146.16,rap,Pressure
Wet,0.853,0.422,8,-5.639,1,0.113,0.00572,3.39e-06,0.11,0.522,160.028,rap,Pressure
Black Barbie,0.838,0.766,6,-8.485,1,0.517,0.45,0.0,0.0738,0.855,164.873,rap,Pressure
Munch (Feelin’ U),0.811,0.528,11,-7.278,0,0.275,0.291,0.0,0.0787,0.635,166.084,rap,Pressure
TAN,0.696,0.478,1,-7.898,1,0.229,0.00417,0.0,0.418,0.218,84.082,rap,Pressure
Scary (feat. Rico Nasty),0.903,0.707,0,-4.896,1,0.439,0.0106,2.89e-05,0.114,0.528,85.024,rap,Pressure
Messy,0.69,0.308,11,-16.06,1,0.496,0.3,0.0,0.0996,0.446,144.015,rap,Pressure
F.N.F. (Let's Go),0.864,0.476,1,-10.068,1,0.436,0.0374,0.0,0.374,0.647,157.144,rap,Pressure
Gorilla,0.716,0.813,5,-5.748,1,0.256,0.269,0.0,0.104,0.682,90.418,rap,Pressure
Juju,0.744,0.349,1,-8.474,1,0.363,0.194,0.0,0.0994,0.265,82.495,rap,Pressure
Swamp Bitches (with Rico Nasty),0.823,0.62,0,-6.219,1,0.0671,0.000132,0.000354,0.0866,0.194,140.082,rap,Pressure
Raid,0.684,0.683,1,-5.531,1,0.343,0.0177,0.0,0.111,0.663,165.883,rap,Pressure
Seduce & Scheme (RAP SH!T: Soundtrack From The Max Original Series),0.915,0.645,1,-6.312,1,0.0847,0.0012,0.0,0.0794,0.385,108.028,rap,Pressure
Big Steppa,0.982,0.857,0,-3.163,1,0.219,0.254,3.99e-05,0.0416,0.581,111.986,rap,Pressure
CHOSEN,0.71,0.593,9,-10.684,1,0.33,0.00969,0.0,0.398,0.329,96.353,rap,Pressure
Back To The Basics,0.935,0.597,3,-8.464,0,0.358,0.283,0.0,0.108,0.791,129.981,rap,Pressure
Come Outside,0.775,0.874,8,-3.561,1,0.262,0.665,0.0,0.141,0.691,142.916,rap,Pressure
Outside (feat. Fivio Foreign),0.822,0.666,6,-7.377,0,0.389,0.101,0.0,0.133,0.866,73.487,rap,Pressure
Gangsta,0.908,0.623,9,-5.548,1,0.294,0.0823,0.0,0.0814,0.87,146.054,rap,Pressure
Out Loud Thinking,0.651,0.545,5,-5.617,0,0.64,0.052,0.0,0.86,0.233,73.727,rap,Pressure
Bag$ on Bag$,0.868,0.715,2,-4.86,1,0.154,0.000959,0.0,0.105,0.193,74.999,rap,Pressure
Remember,0.855,0.704,11,-11.274,1,0.445,0.0679,0.0,0.664,0.16,149.999,rap,Pressure
Alone,0.811,0.603,2,-3.485,1,0.338,0.0124,0.0,0.244,0.375,158.906,rap,Pressure
One Time,0.832,0.577,8,-7.556,1,0.323,0.0716,0.0,0.163,0.609,137.754,rap,Pressure
Bout U,0.868,0.409,6,-7.104,0,0.131,0.00169,0.00552,0.23,0.294,145.059,rap,Pressure
Playin Wit Me,0.905,0.682,6,-7.51,0,0.268,0.00194,0.0,0.0598,0.805,85.01,rap,Pressure
Choosey,0.767,0.599,10,-10.83,0,0.34,0.368,0.0,0.117,0.816,104.923,rap,Pressure
Real Freak,0.834,0.509,1,-8.946,1,0.247,0.0088,0.0,0.0807,0.454,150.049,rap,Pressure
Unh Unh,0.724,0.8,1,-6.19,1,0.415,0.0741,1.53e-06,0.144,0.562,178.339,rap,Pressure
GIRLS GONE WILD,0.899,0.555,10,-9.322,0,0.09,0.141,2.14e-06,0.0933,0.62,140.148,rap,Pressure
The Facts (feat. Young Devyn),0.725,0.67,0,-5.936,1,0.226,0.0067,0.0,0.1,0.362,160.043,rap,Pressure
Glass Slipper Flows,0.515,0.692,9,-5.898,1,0.38,0.145,0.0,0.589,0.279,75.188,rap,Pressure
Mel Gibson,0.776,0.745,0,-9.976,1,0.457,0.202,9.48e-05,0.367,0.594,77.925,rap,Pressure
Red Flags,0.841,0.65,8,-5.627,1,0.131,0.021,4.15e-06,0.0694,0.748,129.979,pop,Pop Rising
Love Again,0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,pop,Pop Rising
Flowers,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,pop,Pop Rising
Ghost,0.715,0.931,11,-3.548,0,0.0426,0.00573,0.00185,0.0549,0.615,119.971,pop,Pop Rising
Rush,0.792,0.503,1,-8.044,1,0.0626,0.0369,0.00057,0.0959,0.381,99.97,pop,Pop Rising
TRUSTFALL,0.636,0.888,8,-3.889,1,0.0945,0.00162,0.000216,0.147,0.25,122.032,pop,Pop Rising
SAD B!TCH,0.544,0.692,0,-3.207,0,0.155,0.296,0.0,0.131,0.618,193.954,pop,Pop Rising
I'm Not Here To Make Friends,0.698,0.895,0,-4.439,1,0.0628,0.172,1.45e-05,0.409,0.838,114.914,pop,Pop Rising
ceilings,0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,pop,Pop Rising
Nonsense,0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,pop,Pop Rising
Too Well,0.668,0.618,10,-4.639,1,0.0607,0.125,0.0,0.112,0.389,120.951,pop,Pop Rising
Kill Bill,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,pop,Pop Rising
i'm yours,0.398,0.705,5,-7.07,0,0.0756,0.204,5.13e-05,0.443,0.635,111.487,pop,Pop Rising
Boy's a liar Pt. 2,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,pop,Pop Rising
Escapism.,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,pop,Pop Rising
Lavender Haze,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,pop,Pop Rising
PSYCHO,0.62,0.681,9,-4.915,1,0.356,0.0138,0.0,0.0248,0.741,160.743,pop,Pop Rising
Where do we go now?,0.612,0.691,10,-10.67,1,0.0454,0.419,0.0242,0.145,0.632,151.029,pop,Pop Rising
I Can't Go Back To The Way It Was (Intro),0.439,0.43,10,-9.033,1,0.121,0.868,0.00145,0.115,0.15,146.73,pop,Pop Rising
Evangeline,0.469,0.568,3,-7.084,1,0.0305,0.0817,0.0,0.146,0.193,109.172,pop,Pop Rising
BABY SAID,0.622,0.715,6,-4.04,0,0.0323,0.000982,0.0,0.0796,0.607,131.012,pop,Pop Rising
About You,0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,pop,Pop Rising
Ice Cream Man.,0.548,0.295,6,-10.276,1,0.245,0.693,0.000278,0.247,0.123,152.593,pop,Pop Rising
Voices (feat. Oliver Tree),0.729,0.549,2,-5.332,0,0.0292,0.0865,0.0,0.0951,0.624,95.012,pop,Pop Rising
Can't Tame Her,0.584,0.915,6,-3.199,0,0.11,0.00686,0.000155,0.098,0.57,181.882,pop,Pop Rising
MUST BE NICE,0.539,0.338,2,-8.693,1,0.0299,0.911,0.0,0.106,0.247,99.786,pop,Pop Rising
Too Late (with AJR),0.729,0.622,6,-6.931,0,0.087,0.0216,0.0,0.294,0.588,88.966,pop,Pop Rising
LLYLM,0.555,0.634,6,-5.522,0,0.273,0.129,2.32e-06,0.188,0.555,170.228,pop,Pop Rising
Low,0.698,0.546,0,-7.234,0,0.0559,0.425,0.00314,0.16,0.335,145.044,pop,Pop Rising
That's What I Get,0.814,0.722,1,-5.487,1,0.0454,0.33,0.0,0.0713,0.47,142.959,pop,Pop Rising
F64,0.751,0.618,6,-6.643,0,0.324,0.596,0.0,0.129,0.707,93.728,pop,Pop Rising
Gimme (feat. Koffee & Jessie Reyez),0.76,0.457,10,-8.075,0,0.0533,0.127,0.000703,0.13,0.745,104.972,pop,Pop Rising
OMG,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,pop,Pop Rising
people pleaser,0.692,0.758,3,-3.453,0,0.0522,0.158,0.0,0.0774,0.701,94.058,pop,Pop Rising
People,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,pop,Pop Rising
LET GO,0.735,0.449,2,-9.933,0,0.383,0.859,0.0,0.213,0.514,146.016,pop,Pop Rising
GOSSIP (feat. Tom Morello),0.706,0.821,9,-2.974,1,0.0617,0.00164,0.0,0.0981,0.918,139.914,pop,Pop Rising
Luv Me A Little,0.478,0.769,5,-5.092,1,0.0448,0.168,0.0,0.156,0.157,155.998,pop,Pop Rising
messy in heaven,0.62,0.837,8,-4.356,0,0.13,0.128,0.000242,0.242,0.433,172.081,pop,Pop Rising
One Of Us,0.626,0.842,0,-3.827,0,0.0357,0.014,0.0,0.235,0.55,145.03,pop,Pop Rising
About You,0.705,0.568,7,-5.32,1,0.0439,0.614,0.0,0.0774,0.354,150.743,pop,Pop Rising
Pointless,0.325,0.59,4,-3.943,1,0.0495,0.0686,0.0,0.104,0.278,180.449,pop,Pop Rising
Men On The Moon,0.552,0.517,8,-7.906,1,0.0245,0.0211,0.00612,0.152,0.105,79.512,pop,Pop Rising
I Wish you Roses,0.467,0.624,10,-8.511,0,0.0508,0.143,0.000899,0.145,0.31,141.889,pop,Pop Rising
The Lows,0.668,0.618,1,-7.148,0,0.173,0.108,0.0,0.0951,0.812,170.023,pop,Pop Rising
Midnight Rain,0.643,0.363,0,-11.738,1,0.0767,0.69,5.17e-05,0.115,0.23,139.865,pop,Pop Rising
Girl Like Me,0.729,0.646,5,-7.953,0,0.0686,0.0248,0.0,0.168,0.54,125.007,pop,Pop Rising
I'll Be Waiting,0.514,0.651,1,-4.039,1,0.043,0.349,0.0,0.0776,0.525,155.913,pop,Pop Rising
One Life,0.463,0.827,6,-4.43,0,0.219,0.216,0.0,0.145,0.399,173.719,pop,Pop Rising
Stick Season,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,pop,Pop Rising
In The Kitchen,0.364,0.294,0,-6.578,0,0.0504,0.833,0.0,0.264,0.125,79.477,pop,Pop Rising
Sorry To Me Too,0.682,0.642,11,-6.765,0,0.0825,0.391,0.000271,0.107,0.387,148.127,pop,Pop Rising
10:35,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,pop,Pop Rising
Hero,0.534,0.696,9,-5.211,0,0.0694,0.316,0.0,0.248,0.251,168.149,pop,Pop Rising
brrr,0.569,0.808,3,-5.203,0,0.171,0.091,0.0,0.173,0.449,146.902,pop,Pop Rising
Bad Idea,0.802,0.628,7,-6.576,0,0.122,0.0311,0.000232,0.262,0.625,96.97,pop,Pop Rising
blame's on me,0.306,0.121,1,-17.118,0,0.0396,0.863,0.0,0.167,0.238,159.08,pop,Pop Rising
Ghost of You,0.737,0.858,3,-4.1,1,0.0648,0.0537,0.0,0.0825,0.65,126.254,pop,Pop Rising
uh oh,0.625,0.604,10,-7.415,0,0.339,0.257,2.06e-05,0.129,0.372,174.089,pop,Pop Rising
Back To You,0.679,0.548,0,-7.495,1,0.0298,0.234,0.0,0.189,0.413,115.954,pop,Pop Rising
My Mind & Me,0.6,0.389,9,-5.727,1,0.0337,0.566,0.0,0.0826,0.244,143.577,pop,Pop Rising
